Unnamed: 0,job_title,category
0,web editor,Content/Media
1,route manager,Operations
2,quality manager,Quality Assurance
3,budget mgr,Finance
4,inspector,Quality Assurance
5,banesco usa,Other
6,mechanical design engineer,Engineering
7,mission assembly,Manufacturing
8,authorization specialist/referral assist,Healthcare
9,registered nurse,Healthcare
10,it process eng.,IT/Technology
11,area teacher ii,Education
12,claims representative,Insurance
13,technician,Technical Support
14,astec mobile screens,Manufacturing
15,sales & service representative,Sales
16,labor,Labor
17,vice president,Executive
18,practice administrator,Healthcare
19,consultant,Consulting
20,sr. manager planning & project controls,Project Management
21,transaction manager,Finance
22,operations support supervisor,Operations
23,deputy clerk,Administrative
24,president of brokerage operations,Executive
25,program administrator,Administrative
26,claims adjuster,Insurance
27,supervisor,Management
28,service tech,Technical Support
29,tech support,Technical Support
30,network systems administrator,IT/Technology
31,fleet manager,Operations
32,administrative assistant,Administrative
33,teacher,Education
34,sr director,Executive
35,marketing manager,Marketing
36,vp sales,Executive
37,causes,Other
38,ceo,Executive
39,office manager,Administrative
40,rural mail carrier,Logistics
41,nurse practitioner,Healthcare
42,general manager,Management
43,business professor,Education
44,controller,Finance
45,systems administrator,IT/Technology
46,manager security,Security
47,surgical technologist,Healthcare
48,service manager,Customer Service
49,global operations manager,Executive
50,ivymount school,Other
51,lineman,Technical Support
52,support analyst,IT/Technology
53,production worker,Manufacturing
54,truck driver,Logistics
55,helpdesk technician,IT/Technology
56,medical dosimetrist,Healthcare
57,accountant,Finance
58,senior pastor,Religious
59,enterprise client account specialist,Customer Service
60,member service,Customer Service
61,tol inc.,Other
62,pharmacy manager,Healthcare
63,manager,Management
64,purchasing manager,Procurement
65,staff manager,Human Resources
66,teacher,Education
67,auditor,Finance
68,civil engineer technician,Engineering
69,herdsman,Agriculture
70,medical assistant,Healthcare
71,operations coordinator,Operations
72,adc corp,Other
73,operations supervisor,Operations
74,cocktail waitress,Hospitality
75,rn nurse educator,Healthcare
76,asset protection manager,Security
77,kennel manager,Animal Care
78,purchasing coordinator,Procurement
79,sales,Sales
80,principal,Education
81,advanced production technician,Manufacturing
82,instructional designer,Education
83,information tech specialist,IT/Technology
84,event captain,Event Management
85,facility administrator,Administrative
86,owner,Executive
87,ironworker,Construction
88,medical assistant,Healthcare
89,firefighter,Emergency Services
90,night monitor,Security
